TT_county,TT_town,TT_cases,TT_repeat,TT_town_2
台北市,萬華區,"1703",,萬華區
台北市,士林區,"352",,士林區
台北市,文山區,"327",,文山區
台北市,大同區,"279",,大同區
台北市,大安區,"263",,大安區
台北市,中正區,"257",,中正區
台北市,信義區,"247",,信義區
台北市,中山區,"239",,中山區
台北市,北投區,"209",,北投區
台北市,松山區,"160",,松山區
台北市,內湖區,"150",,內湖區
台北市,南港區,"130",,南港區
台北市,其他,"0",,其他
基隆市,中山區,"65","1",中山區1
基隆市,安樂區,"63",,安樂區
基隆市,仁愛區,"62",,仁愛區
基隆市,七堵區,"34",,七堵區
基隆市,信義區,"25","1",信義區1
基隆市,暖暖區,"25",,暖暖區
基隆市,中正區,"22","1",中正區1
基隆市,其他,"0","1",其他1
宜蘭縣,宜蘭市,"27",,宜蘭市
宜蘭縣,羅東鎮,"12",,羅東鎮
宜蘭縣,礁溪鄉,"10",,礁溪鄉
宜蘭縣,五結鄉,"10",,五結鄉
宜蘭縣,冬山鄉,"10",,冬山鄉
宜蘭縣,頭城鎮,"8",,頭城鎮
宜蘭縣,壯圍鄉,"7",,壯圍鄉
宜蘭縣,南澳鄉,"7",,南澳鄉
宜蘭縣,員山鄉,"2",,員山鄉
宜蘭縣,蘇澳鎮,"2",,蘇澳鎮
宜蘭縣,三星鄉,"0",,三星鄉
宜蘭縣,大同鄉,"0",,大同鄉
宜蘭縣,其他,"0","2",其他2
新北市,板橋區,"1302",,板橋區
新北市,中和區,"1048",,中和區
新北市,三重區,"765",,三重區
新北市,新莊區,"560",,新莊區
新北市,永和區,"493",,永和區
新北市,土城區,"460",,土城區
新北市,新店區,"342",,新店區
新北市,蘆洲區,"280",,蘆洲區
新北市,汐止區,"192",,汐止區
新北市,樹林區,"179",,樹林區
新北市,五股區,"151",,五股區
新北市,淡水區,"132",,淡水區
新北市,泰山區,"87",,泰山區
新北市,三峽區,"83",,三峽區
新北市,林口區,"80",,林口區
新北市,八里區,"33",,八里區
新北市,鶯歌區,"29",,鶯歌區
新北市,深坑區,"22",,深坑區
新北市,金山區,"19",,金山區
新北市,瑞芳區,"13",,瑞芳區
新北市,石碇區,"11",,石碇區
新北市,三芝區,"7",,三芝區
新北市,萬里區,"6",,萬里區
新北市,石門區,"4",,石門區
新北市,坪林區,"1",,坪林區
新北市,其他,"0","3",其他3
新北市,平溪區,"0",,平溪區
新北市,雙溪區,"0",,雙溪區
新北市,烏來區,"0",,烏來區
新北市,貢寮區,"0",,貢寮區
連江縣,南竿鄉,"2",,南竿鄉
連江縣,莒光鄉,"1",,莒光鄉
連江縣,北竿鄉,"1",,北竿鄉
連江縣,其他,"0","4",其他4
連江縣,東引鄉,"0",,東引鄉
金門縣,其他,"0","5",其他5
金門縣,金沙鎮,"0",,金沙鎮
金門縣,金城鎮,"0",,金城鎮
金門縣,金湖鎮,"0",,金湖鎮
金門縣,金寧鄉,"0",,金寧鄉
金門縣,烈嶼鄉,"0",,烈嶼鄉
金門縣,烏坵鄉,"0",,烏坵鄉
新竹市,東區,"15",,東區
新竹市,香山區,"14",,香山區
新竹市,北區,"5",,北區
新竹市,其他,"0","6",其他6
新竹縣,竹東鎮,"53",,竹東鎮
新竹縣,竹北市,"29",,竹北市
新竹縣,湖口鄉,"4",,湖口鄉
新竹縣,寶山鄉,"3",,寶山鄉
新竹縣,峨眉鄉,"1",,峨眉鄉
新竹縣,新埔鎮,"1",,新埔鎮
新竹縣,新豐鄉,"1",,新豐鄉
新竹縣,橫山鄉,"1",,橫山鄉
新竹縣,關西鎮,"0",,關西鎮
新竹縣,芎林鄉,"0",,芎林鄉
新竹縣,其他,"0","7",其他7
新竹縣,五峰鄉,"0",,五峰鄉
新竹縣,北埔鄉,"0",,北埔鄉
新竹縣,尖石鄉,"0",,尖石鄉
桃園市,桃園區,"198",,桃園區
桃園市,龜山區,"133",,龜山區
桃園市,中壢區,"88",,中壢區
桃園市,八德區,"59",,八德區
桃園市,蘆竹區,"44",,蘆竹區
桃園市,大溪區,"30",,大溪區
桃園市,平鎮區,"29",,平鎮區
桃園市,楊梅區,"26",,楊梅區
桃園市,龍潭區,"20",,龍潭區
桃園市,大園區,"17",,大園區
桃園市,觀音區,"8",,觀音區
桃園市,新屋區,"2",,新屋區
桃園市,復興區,"0",,復興區
桃園市,其他,"0","8",其他8
苗栗縣,竹南鎮,"441",,竹南鎮
苗栗縣,頭份市,"61",,頭份市
苗栗縣,造橋鄉,"13",,造橋鄉
苗栗縣,後龍鎮,"12",,後龍鎮
苗栗縣,苗栗市,"5",,苗栗市
苗栗縣,三灣鄉,"3",,三灣鄉
苗栗縣,公館鄉,"3",,公館鄉
苗栗縣,南庄鄉,"1",,南庄鄉
苗栗縣,三義鄉,"0",,三義鄉
苗栗縣,大湖鄉,"0",,大湖鄉
苗栗縣,西湖鄉,"0",,西湖鄉
苗栗縣,其他,"0","9",其他9
苗栗縣,卓蘭鎮,"0",,卓蘭鎮
苗栗縣,苑裡鎮,"0",,苑裡鎮
苗栗縣,泰安鄉,"0",,泰安鄉
苗栗縣,通霄鎮,"0",,通霄鎮
苗栗縣,獅潭鄉,"0",,獅潭鄉
苗栗縣,銅鑼鄉,"0",,銅鑼鄉
苗栗縣,頭屋鄉,"0",,頭屋鄉
南投縣,草屯鎮,"19",,草屯鎮
南投縣,埔里鎮,"7",,埔里鎮
南投縣,竹山鎮,"4",,竹山鎮
南投縣,南投市,"3",,南投市
南投縣,名間鄉,"2",,名間鄉
南投縣,其他,"0","10",其他10
南投縣,信義鄉,"0",,信義鄉
南投縣,中寮鄉,"0",,中寮鄉
南投縣,仁愛鄉,"0",,仁愛鄉
南投縣,水里鄉,"0",,水里鄉
南投縣,國姓鄉,"0",,國姓鄉
南投縣,魚池鄉,"0",,魚池鄉
南投縣,鹿谷鄉,"0",,鹿谷鄉
南投縣,集集鎮,"0",,集集鎮
台中市,北屯區,"32",,北屯區
台中市,西屯區,"26",,西屯區
台中市,霧峰區,"18",,霧峰區
台中市,龍井區,"16",,龍井區
台中市,東區,"16","1",東區1
台中市,大雅區,"13",,大雅區
台中市,潭子區,"13",,潭子區
台中市,豐原區,"11",,豐原區
台中市,太平區,"10",,太平區
台中市,南屯區,"6",,南屯區
台中市,大里區,"5",,大里區
台中市,北區,"4","1",北區1
台中市,沙鹿區,"4",,沙鹿區
台中市,清水區,"4",,清水區
台中市,梧棲區,"3",,梧棲區
台中市,西區,"3",,西區
台中市,石岡區,"1",,石岡區
台中市,東勢區,"1",,東勢區
台中市,中區,"1",,中區
台中市,大甲區,"1",,大甲區
台中市,大安區,"1","1",大安區1
台中市,新社區,"1",,新社區
台中市,南區,"1",,南區
台中市,烏日區,"0",,烏日區
台中市,神岡區,"0",,神岡區
台中市,大肚區,"0",,大肚區
台中市,外埔區,"0",,外埔區
台中市,其他,"0","11",其他11
台中市,和平區,"0",,和平區
台中市,后里區,"0",,后里區
彰化縣,溪湖鎮,"62",,溪湖鎮
彰化縣,埔心鄉,"31",,埔心鄉
彰化縣,員林市,"29",,員林市
彰化縣,彰化市,"23",,彰化市
彰化縣,埤頭鄉,"20",,埤頭鄉
彰化縣,田中鎮,"14",,田中鎮
彰化縣,二林鎮,"13",,二林鎮
彰化縣,永靖鄉,"10",,永靖鄉
彰化縣,秀水鄉,"7",,秀水鄉
彰化縣,福興鄉,"6",,福興鄉
彰化縣,大村鄉,"5",,大村鄉
彰化縣,和美鎮,"4",,和美鎮
彰化縣,芬園鄉,"4",,芬園鄉
彰化縣,埔鹽鄉,"4",,埔鹽鄉
彰化縣,溪州鄉,"4",,溪州鄉
彰化縣,花壇鄉,"3",,花壇鄉
彰化縣,二水鄉,"3",,二水鄉
彰化縣,芳苑鄉,"2",,芳苑鄉
彰化縣,大城鄉,"2",,大城鄉
彰化縣,田尾鄉,"2",,田尾鄉
彰化縣,鹿港鎮,"2",,鹿港鎮
